"idnum","percent","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","F0","F1","F2","F3","F4","Energy"
1,"01","f3","bahl",1,"a","breathy","F",146,226.806,668.992,1398.693,2644.487,3611.825,0.272
1,"02","f3","bahl",1,"a","breathy","F",146,214.834,674.967,1489.565,2609.161,3677.979,0.282
1,"03","f3","bahl",1,"a","breathy","F",146,202.504,919.207,1635.749,2588.017,3683.83,0.234
1,"04","f3","bahl",1,"a","breathy","F",146,195.068,961.171,1722.57,2771.1,3891.006,0.238
1,"05","f3","bahl",1,"a","breathy","F",146,191.992,953.127,1797.172,2962.773,4009.764,0.238
1,"06","f3","bahl",1,"a","breathy","F",146,189.934,961.412,1844.138,2973.966,4064.481,0.173
1,"07","f3","bahl",1,"a","breathy","F",146,187.19,952.031,1985.416,2985.919,4339.717,0.114
1,"08","f3","bahl",1,"a","breathy","F",146,189.925,825.134,2020.164,3073.001,4467.186,0.1
1,"09","f3","bahl",1,"a","breathy","F",146,193.667,785.298,2004.539,3083.033,4559.62,0.109
1,"10","f3","bahl",1,"a","breathy","F",146,188.809,870.504,2013.565,3107.788,4571.333,0.115
10,"01","f3","beche7",3,"e","checked","L",45,191.773,345.883,2063.166,3094.982,4438.207,0.016
10,"02","f3","beche7",3,"e","checked","L",45,214.057,345.883,2063.166,3094.982,4438.207,0.016
10,"03","f3","beche7",3,"e","checked","L",45,229.433,333.05,2193.145,3197.042,4331.063,0.019
10,"04","f3","beche7",3,"e","checked","L",45,210.481,338.37,2061.655,3118.882,4416.083,0.018
10,"05","f3","beche7",3,"e","checked","L",45,201.799,351.953,2004.29,3043.276,4455.837,0.014
10,"06","f3","beche7",3,"e","checked","L",45,188.587,355.723,2020.518,3042.001,4460.426,0.013
10,"07","f3","beche7",3,"e","checked","L",45,153.969,344.661,2100.214,3116.908,4458.3,0.014
10,"08","f3","beche7",3,"e","checked","L",45,174.579,351.462,2158.942,3172.508,4465.225,0.014
10,"09","f3","beche7",3,"e","checked","L",45,233.16,351.462,2158.942,3172.508,4465.225,0.014
10,"10","f3","beche7",3,"e","checked","L",45,323.506,351.462,2158.942,3172.508,4465.225,0.014
100,"01","f3","duh",1,"u","breathy","L",217,227.929,413.902,1499.572,2839.636,4502.228,0.144
100,"02","f3","duh",1,"u","breathy","L",217,219.592,384.148,1298.534,3022.278,4230.062,0.147
100,"03","f3","duh",1,"u","breathy","L",217,212.665,370.397,1120.688,3106.994,4108.821,0.135
100,"04","f3","duh",1,"u","breathy","L",217,207.521,402.015,1047.941,3291.051,4102.877,0.216
100,"05","f3","duh",1,"u","breathy","L",217,202.039,385.95,1057.676,3582.413,4276.802,0.198
100,"06","f3","duh",1,"u","breathy","L",217,199.63,313.143,1339.354,3156.792,4301.941,0.152
100,"07","f3","duh",1,"u","breathy","L",217,197.887,337.506,1049.272,3178.429,4001.195,0.163
100,"08","f3","duh",1,"u","breathy","L",217,200.018,252.159,704.29,3196.8,4203.395,0.129
100,"09","f3","duh",1,"u","breathy","L",217,199.865,219.73,668.857,3026.525,3986.441,0.089
100,"10","f3","duh",1,"u","breathy","L",217,203.834,227.973,753.673,3208.118,3952.596,0.058
1000,"01","f8","da7abep",1,"e","modal","L",102,157.272,454.689,1897.721,2911.554,3942.96,0.154
1000,"02","f8","da7abep",1,"e","modal","L",102,158.742,579.333,1809.561,2794.653,3846.145,0.185
1000,"03","f8","da7abep",1,"e","modal","L",102,155.005,584.213,1851.851,2819.794,3877.127,0.184
1000,"04","f8","da7abep",1,"e","modal","L",102,152.78,538.582,1895.307,2866.16,3958.404,0.177
1000,"05","f8","da7abep",1,"e","modal","L",102,150.909,504.479,1916.201,3006.369,4018.235,0.156
1000,"06","f8","da7abep",1,"e","modal","L",102,149.944,456.422,1911.745,3023.709,3886.621,0.138
1000,"07","f8","da7abep",1,"e","modal","L",102,148.244,349.997,1918.855,2959.063,3954.354,0.136
1000,"08","f8","da7abep",1,"e","modal","L",102,149.057,312.868,1939.921,2929.385,4008.42,0.13
1000,"09","f8","da7abep",1,"e","modal","L",102,146.732,304.173,1928.193,2859.016,3978.536,0.124
1000,"10","f8","da7abep",1,"e","modal","L",102,142.834,304.173,1928.193,2859.016,3978.536,0.124
1001,"01","f8","da7abep",2,"a","rearticulated","L",98,171.028,507.683,1680.543,3292.492,4046.858,0.092
1001,"02","f8","da7abep",2,"a","rearticulated","L",98,167.8,655.662,1878.166,3306.798,4313.264,0.124
