"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"f3","bahl",1,"a","breathy","F",146,6.016,1.74325,-9.354,-27.84525,-25.138,-24.3875,4.2725,11.0975,33.86125,31.15375,30.40325,13.8585,6.91025,22.042,-0.719535453373082,30.26725,30.619,33.94525,36.59225,0.046,0.08175,191.046,956.93525,1837.324
"f3","bahl",2,"a","breathy","F",148,4.4405,0.94325,-16.697,-30.34775,-30.41525,-24.7025,3.4975,17.64,34.7885,34.856,29.14275,10.3925,7.0105,21.713,-0.837137006678074,45.78175,43.972,44.15175,44.10725,0,0.08025,200.68075,968.37625,1793.61975
"f3","bahl",3,"a","breathy","F",135,2.8105,-0.235,-17.7975,-32.15175,-35.8445,-27.80925,3.0455,17.5625,34.9625,38.655,30.61975,10.825,7.3055,21.147,-1.03621217265444,43.90375,43.922,44.827,45.284,0,0.065,203.37125,1023.152,1739.17125
"f3","bgah",1,"a","breathy","L",173,-0.227,-3.42225,2.5955,-13.96275,-7.9695,-7.0495,3.19525,-6.01775,13.73575,7.7425,6.8225,8.5365,30.795,18.814,-0.981923936354205,32.7135,34.91275,37.0255,39.95775,0,0.0675,203.843,315.13125,1596.19575
"f3","bgah",2,"a","breathy","L",165,-0.0795,-2.71525,-3.82775,-13.4515,-12.47825,4.02375,2.6355,1.1125,13.37175,12.398,-4.10375,-13.347,45.63625,19.29225,-1.02571864112217,30.17875,33.48325,37.43475,40.26975,0,0.084,201.277,285.483,1029.6155
"f3","bgah",3,"a","breathy","L",131,0.18575,1.74225,3.25925,-9.93725,-9.411,3.377,-1.55625,-1.517,10.12325,9.59675,-3.191,-2.23375,41.3355,17.297,-0.97571962395292,28.40725,31.52275,34.9035,38.37125,0,0.08775,199.07225,260.189,1095.564
"f3","cha7",3,"a","checked","L",203,-5.763,-4.5595,-2.0055,-6.09175,-12.41175,-3.4435,-1.20325,-2.554,0.329,6.649,-2.31925,0.91875,29.297,14.99975,-1.32330639037513,23.386,32.5555,34.84775,37.358,0,0.0635,204.5155,218.86775,1610.01325
"f3","dam",1,"a","modal","H",141,4.08525,-1.16475,8.37875,-12.858,-4.109,-2.20125,5.25,-9.5435,16.94325,8.19425,6.2865,7.5955,34.889,25.58925,-0.664040893851752,39.9255,40.93225,43.139,44.992,0,0.0855,195.6135,324.475,1622.7795
"f3","dam",2,"a","modal","H",142,2.1375,-9.7005,-2.88625,-18.228,-19.5595,-14.69125,11.83775,-6.814,20.3655,21.697,16.829,7.7235,25.654,21.615,-1.04696554274964,45.055,46.7315,48.23975,48.49425,0,0.09475,218.25725,349.665,1748.85825
"f3","dam",3,"a","modal","H",121,-0.424,-2.392,-4.3865,-17.566,-14.0285,-6.6095,1.96775,1.9945,17.142,13.6045,6.185,2.4155,30.54725,21.501,-1.04939177521577,40.74025,44.358,46.89175,47.91425,0.18975,0.0825,211.2955,353.29425,1551.71
"f3","kandadw",1,"a","modal","M",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02113501565234,0,0,0,0,0,0.1,226.67575,693.62525,1806.54975
"f3","kandadw",2,"a","modal","H",140,4.65825,-7.0525,-12.718,-21.8385,-26.97075,-21.26075,11.71075,5.6655,26.49675,31.62925,25.919,8.951,15.29125,22.85075,-0.945004138470859,46.44375,46.322,47.6925,48.3125,0,0.10775,225.23225,755.311,1747.57075
"f3","kandadw",3,"a","modal","M",41,0,0,0,0,0,0,0,0,0,0,0,0,0,16.557,-1.36401388819917,31.235,39.616,41.836,43.278,0,0.0975,241.7845,276.56225,1900.95775
"f3","kandadw",4,"a","modal","H",116,5.7955,-7.3175,-16.59125,-20.59525,-28.351,-25.2185,13.113,9.27375,26.391,34.1465,31.01425,5.27125,13.27275,19.27775,-0.896196279044043,40.03,41.077,42.21075,43.53425,0,0.11875,228.43475,718.78625,1779.715
"f3","kandadw",6,"a","modal","H",119,3.49725,-9.09675,-15.6615,-21.197,-22.67525,-23.13975,12.59375,6.56475,24.694,26.1725,26.63725,4.987,17.42575,22.82575,-0.980883709552927,44.54425,48.40075,48.5145,48.94275,0,0.09025,231.20075,691.2285,1807.307
"f3","gwanhax",1,"a","modal","L",46,4.82675,0.1875,-0.37725,-19.15975,-8.52625,-8.067,4.63925,0.56475,23.9865,13.353,12.89375,-1.2345,34.6205,24.429,-0.635449004646028,38.77775,41.2475,45.70225,48.16825,0,0.108,224.17775,353.0755,1531.90725
"f3","gwanhax",2,"a","modal","F",140,-2.60325,-4.951,2.45625,-20.08025,-12.52725,-14.1275,2.34775,-7.407,17.47725,9.92375,11.52425,12.3705,28.22325,21.3005,-1.05799194697769,40.788,43.0235,42.50125,44.0445,0,0.05275,240.4095,356.51775,1626.4415
"f3","gwanhax",3,"a","modal","L",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.859334860023264,0,0,0,0,0,0.11025,226.35425,319.5935,1591.7755
"f3","gwanhax",4,"a","modal","F",168,-4.7805,-11.15675,-1.069,-22.8375,-15.14175,-17.6265,6.37625,-10.088,18.05675,10.3615,12.846,12.2885,26.53525,22.0375,-1.35163998901907,41.72675,44.295,44.676,46.36625,0.2555,0.035,238.1125,442.572,1605.498
"f3","gwanhax",5,"a","modal","L",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.950781977329818,0,0,0,0,0,0.11075,218.34,608.821,1543.32875
"f3","gwanhax",6,"a","modal","F",142,3.87525,-6.63025,-12.07625,-20.95725,-22.77825,-24.64925,10.5055,5.44625,24.8325,26.6535,28.52425,6.91225,17.4825,21.474,-0.876148359032914,39.77725,45.80275,45.3785,46.59925,0,0.0685,231.2175,621.3595,1772.65675
"f3","player",1,"a","modal","M",85,-2.49675,1.292,-4.99575,-15.26275,-16.03225,-10.834,-3.78875,6.28775,12.7665,13.5355,8.338,12.201,17.6305,17.64125,-1.18708664335714,34.028,42.73175,44.696,44.1215,0,0.084,224.321,295.57975,2138.97025
"f3","player",2,"a","modal","M",82,-3.13275,1.8625,-1.183,-4.866,-12.22875,-10.2605,-4.995,3.04475,1.733,9.096,7.12775,14.368,20.77675,17.654,-1.21824462534753,35.04425,44.383,46.18425,46.30475,0,0.0905,219.73375,247.1635,2163.12025
"f3","player",3,"a","modal","M",70,4.50075,-11.713,-28.846,-37.3805,-34.172,-31.24425,16.2135,17.133,41.881,38.67275,35.745,6.63325,1.9725,15.911,-1.23657200643706,28.486,42.12075,44.82825,45.4695,0,0.09775,219.3625,732.15075,2183.88975
