"idnum","measurement.no","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1h2c","h1c","h2c","h4c","h2h4c","h42Kc","h2Kh5Kc","h1a1c","h1a2c","h1a3c","cpp","shr","hnr05","hnr15","hnr25","hnr35","f0","f1","f2","sB1","sB2","energy","soe","a1c","a2c","a3c","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
1,"01","f3","bahl",1,"a","breathy","F",146,4.384,5.256,0.872,-11.828,12.7,13.09,5.799,32.347,31.378,29.53,20.664,0,29.538,30.763,33.889,36.235,226.806,668.992,1398.693,175.287,292.391,-0.565431095965801,0.051,-27.091,-26.122,-24.274,1.43269701475009,0.842604622779417,-0.724184188364415,-1.56083621534046,-1.29604071132877,-1.31424686008015,0.0715276189313228,1.76311204159808,1.03569689481197,-1.47596223222985,2.09749273662625,1.78920834244157,1.76368216636193,1.51904439126424,-0.304381680711199,-1.14252401615647,-1.12938077532649,-0.991681454437281,0.54646791805055,-0.549154988675329,0.506710858293559,0.718567267919946,0.453611498354715
1,"02","f3","bahl",1,"a","breathy","F",146,4.384,5.256,0.872,-11.828,12.7,13.09,5.799,32.347,31.378,29.53,20.664,0,29.538,30.763,33.889,36.235,214.834,674.967,1489.565,271.722,296.158,-0.549750891680639,0.073,-27.091,-26.122,-24.274,1.43269701475009,0.842604622779417,-0.724184188364415,-1.56083621534046,-1.29604071132877,-1.31424686008015,0.0715276189313228,1.76311204159808,1.03569689481197,-1.47596223222985,2.09749273662625,1.78920834244157,1.76368216636193,1.56851022273468,-0.304381680711199,-1.14252401615647,-1.12938077532649,-0.991681454437281,0.54646791805055,-0.549154988675329,0.506710858293559,0.817409722835833,0.42172877035303
1,"03","f3","bahl",1,"a","breathy","F",146,5.41,4.882,-0.528,-11.129,10.601,3.366,15.126,25.877,27.025,28.042,19.95,0,31.475,30.419,33.707,36.2,202.504,919.207,1635.749,548.747,164,-0.630784142589857,0.059,-20.995,-22.143,-23.16,1.33734883355012,0.614675585545718,-0.622910196398424,-0.850417669592409,-0.789677105091111,-1.16206691913056,0.236742168913811,1.39935967837175,-0.330309179789995,-0.526513073417161,1.38373079304154,1.29639448402959,1.59148433489756,1.31287725647477,-0.103915383260601,-1.1761991676105,-1.14706476881986,-0.995404784723041,0.371030073784697,-0.549154988675329,0.506710858293559,0.75865678545868,0.49114636967773
1,"04","f3","bahl",1,"a","breathy","F",146,2.068,4.885,2.816,-13.101,15.918,4.808,11.766,32.683,27.976,31.615,20.327,0,33.023,31.962,34.181,36.814,195.068,961.171,1722.57,434.546,222.353,-0.623423042943488,0.078,-27.798,-23.091,-26.73,1.33811365853301,1.15910037162393,-0.908621658711636,-1.64322891741459,-0.910318647869019,-1.64975308536939,-0.301412827227978,2.32078479284264,-0.127740199989909,-0.868546864948269,2.13455981746774,1.40405953786597,2.00496743424043,1.33609907858388,0.0562920656054418,-1.02515045047802,-1.10100865389756,-0.93008693342428,0.4636632212472,-0.549154988675329,0.506710858293559,0.835726618861831,0.47694379158663
1,"05","f3","bahl",1,"a","breathy","F",146,4.287,6.398,2.111,-8.597,10.708,13.719,8.074,32.037,31.033,30.354,22.205,0,30.275,30.425,33.748,36.642,191.992,953.127,1797.172,275.845,202.273,-0.623423042943488,0.093,-25.639,-24.635,-23.956,1.72384039156922,1.04432182073124,-0.256063633225477,-1.39162234912882,-1.10680656142291,-1.2708059074572,0.0559079197614383,1.41790255729754,1.12405742760965,-1.24437685254733,2.06329394180225,1.75015004215392,1.85903903002231,1.33609907858388,-0.228107204086992,-1.1756118103177,-1.14308101204388,-0.948384442257157,0.925108979694358,-0.549154988675329,0.506710858293559,0.884429612946841,0.862670524622845
1,"06","f3","bahl",1,"a","breathy","F",146,5.701,7.29,1.589,-6.989,8.578,18.073,5.523,33.846,32.875,30.857,23.576,0,28.797,29.092,33.054,35.926,189.934,961.412,1844.138,524.499,232.74,-0.761953896871205,0.091,-26.556,-25.586,-23.568,1.95124835314775,0.959336851134105,-0.0230899864710937,-1.49848813102694,-1.22782988123493,-1.21780248098643,0.283601266423464,1.04877795812075,1.73569774525845,-1.50405786510562,2.26286045740422,1.95868740195059,1.91724837762082,0.899080290484976,-0.381070130071495,-1.30610302220208,-1.21051338283729,-1.02455314181728,1.26197912603677,-0.549154988675329,0.506710858293559,0.878404677178033,1.37175476128651
1,"07","f3","bahl",1,"a","breathy","F",146,5.034,5.491,0.457,-8.729,9.186,18.834,2.278,36.879,32.731,28.787,22.06,0.184,28.974,30.997,34.798,36.987,187.19,952.031,1985.416,539.478,442.689,-0.943095148663527,0.065,-31.388,-27.24,-23.296,1.49260830507627,0.775039943885142,-0.275188335570986,-2.0616020439296,-1.43831628603942,-1.18064543974918,0.176195706152197,1.15414310192332,1.84260134694213,-1.83438514293849,2.59745705321448,1.94238480704792,1.67769897497885,0.327639863399293,-0.362751836499603,-1.11961708173716,-1.04105797265903,-0.911683043726094,0.889480846054934,0.185864417154323,0.506710858293559,0.78535780990882,1.28143116852068
1,"08","f3","bahl",1,"a","breathy","F",146,3.261,3.88,0.619,-11.893,12.512,21.621,-1.396,35.79,34.841,29.104,19.373,0.131,26.971,30.056,33.34,35.579,189.925,825.134,2020.164,422.482,385.775,-1,0.067,-31.91,-30.962,-25.224,1.08189728926573,0.801414589622184,-0.733601655428492,-2.12243512806354,-1.91197432635522,-1.444023290872,-0.10930663022105,1.73053203002755,2.23411296046699,-2.20838280665435,2.47731999655857,2.18126310735788,1.71438359364431,0.148123976050549,-0.570048684095652,-1.21173428382508,-1.18272425020485,-1.06146730207895,0.229254673026438,-0.0258531290900875,0.506710858293559,0.793721079190289,0.986425398900967
1,"09","f3","bahl",1,"a","breathy","F",146,4.574,4.029,-0.545,-20.447,19.902,11.532,0.55,29.71,32.711,28.135,17.543,0.062,27.487,32.016,34.138,35.438,193.667,785.298,2004.539,230.141,143.307,-0.962573502059376,0.075,-25.681,-28.682,-24.106,1.11988359674914,0.61190787580788,-1.97294032106095,-1.39651696509362,-1.62182378043367,-1.29129692284539,0.102122905965117,3.01120376144373,0.81683249083934,-2.01028823572592,1.80658234323631,1.94012055775588,1.60224669936408,0.266192134219354,-0.516646201140304,-1.01986423484279,-1.10518674027236,-1.0764670040873,-0.22039694462974,-0.301485406276207,0.506710858293559,0.824880798001624,0.9483120056282
1,"10","f3","bahl",1,"a","breathy","F",146,6.005,4.775,-1.231,-21.852,20.622,7.252,2.574,28.603,31.91,29.297,17.34,0,29.413,34.56,36.386,37.151,188.809,870.504,2013.565,351.319,260.263,-0.939302159646388,0.08,-23.828,-27.135,-24.522,1.31007007582714,0.500222647563367,-2.17650249375368,-1.18057117026568,-1.42495408984567,-1.34812533885529,0.332553725677534,3.13597827384152,0.215587529990264,-1.80425359463694,1.68445955010675,1.84943737360977,1.73671839302107,0.339605482729175,-0.317318328713948,-0.770824742694354,-0.886760271189376,-0.894236581815676,-0.270276331724933,-0.549154988675329,0.506710858293559,0.842730701561525,1.09118061391229
