"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"m1","bgah",1,"a","breathy","L",160,16.527,11.065,-1.616,-20.317,-21.9295,-13.099,5.462,12.6815,36.8445,38.4565,29.626,11.2925,17.8675,23.8265,-0.176525770829699,32.6665,32.3885,37.2685,39.574,0,0.06,116.694,682.2765,1403.2155,1.51777885187972,1.24029692601252,-0.303499113262453,-1.96949678901283,-1.81360807033602,-0.905275215286269,0.156382390575112,1.07872849139913,0.643992133738982,-0.248595002771099,2.43701373795734,2.372701902841,1.53037740450473,-0.243432446899407,0.909919525456857,-0.169032108757901,0.0469182149774076,0.247887772085069,0.701039029277435,-0.818758642787459,0.909725821914499,0.727960636112981,1.67086844764543
"m1","bgah",2,"a","breathy","L",176,11.145,8.532,-3.618,-16.96,-21.233,-11.175,2.613,12.15,28.105,32.378,22.32,7.8725,19.4375,20.365,-0.468521082957745,23.6065,23.85,31.1385,33.515,0.766,0.029,108.902,643.3035,1285.032,-0.00861650329696273,0.593306922706218,-0.730259962182224,-1.49407344897406,-1.70926555434217,-0.581496782417234,-0.74225391440241,0.987432456751678,0.196789311907801,-0.0463598175095616,1.33111972855647,1.54656208042677,0.488451373351432,-1.34072311568116,-0.0925307000040395,-0.855582527828116,-0.46504646032033,-0.298339417475234,0.0700032556800106,1.82965556314149,1.25922959982224,0.410231878071234,0.834536340243978
"m1","bgah",3,"a","breathy","L",154,13.6825,10.7125,-1.9505,-15.203,-18.826,-10.117,2.97,12.663,28.8855,32.509,23.8,7.177,20.1305,20.8425,-0.164626547529991,25.0415,24.4825,29.1965,31.6155,0,0.0475,119.7695,700.2725,1411.357,0.711046858605832,1.15025982527605,-0.37480356079675,-1.2452444920339,-1.34867339928515,-0.403452301141018,-0.62964838232906,1.0755507366654,0.105844995362893,0.0429070508893208,1.42988399131033,1.56436652506546,0.69951769228202,-0.198716295131895,0.0662459085540604,-0.804725452222106,-0.627238205740919,-0.469581956932206,0.157052102102882,-0.818758642787459,0.778661905199097,0.625296387902469,0.836015397850607
"m1","biu7walh",1,"a","modal","H",109,8.331,8.9145,-4.574,-6.5015,-14.9195,-2.529,-0.5835,13.4885,14.8325,23.2505,10.86,-6.603,28.0605,25.891,0.0275534540502208,40.258,42.884,48.7615,47.703,0.528,0.0315,143.094,556.746,1278.1455,-0.806698355669165,0.691006755420257,-0.934047860067988,-0.0129251017010492,-0.763441470024574,0.873486757388212,-1.75049924569783,1.21734730600025,-1.69604239786333,1.06438795478995,-0.348378897197071,0.306027206841869,-1.14588647458407,0.523477910396839,1.74988651073129,0.674873720527271,1.00678934274199,0.980728310777215,1.07739995794763,1.00678013101213,-0.204317470166412,0.446067742336345,-1.13590271078146
"m1","biu7walh",2,"a","modal","H",129,8.7825,6.8775,-10.552,-12.191,-11.165,-4.1565,1.905,17.4295,20.9735,19.9475,12.9385,-7.953,25.9495,21.439,-0.253755128279802,33.5265,31.452,35.5345,34.345,0.25,0.0295,136.0155,555.5395,1327.7255,-0.678647909206461,0.170707254143141,-2.20836172362563,-0.818680565850764,-0.200980628245783,0.599604533118797,-0.965572448598298,1.89429494954797,-1.87256982753353,0.792465358556129,0.428701612183413,-0.142889439277107,-0.849466647626483,-0.53365304211515,1.00507484487147,-0.244332743232253,-0.097901808997516,-0.223513775069713,0.265794797163077,0.0456063069282562,0.232562252218259,0.417632200203471,-0.343044625679077
"m1","biu7walh",3,"a","modal","H",95,9.9025,10.2665,-4.6155,-7.7215,-10.2595,-5.1655,-0.365,14.883,17.624,20.162,15.068,-4.1175,20.9785,23.5495,-0.0579919469776868,36.5255,35.3005,39.5685,38.342,0.6395,0.044,142.072,540.4845,1426.597,-0.361003390849366,1.03634054320949,-0.9428943012419,-0.18570331881374,-0.065327866964469,0.429805968272198,-1.6815796133224,1.45688130471309,-1.37103578568163,0.152139813374534,0.0048567715760311,-0.113736360078645,-0.545773589408451,0.202006412717614,1.33690135989986,0.0651114551388567,0.239009365578516,0.136821276369887,0.650541583289717,1.39228689858534,-0.510133275835682,0.591762375985746,-0.488041016518875
"m1","cha7",1,"a","checked","L",122,12.135,6.9655,-6.064,-16.2635,-13.305,-6.0305,5.1685,13.0295,28.3975,25.439,18.1645,0.483,13.3675,18.165,-0.333482019445119,22.9215,20.0625,24.381,26.049,0,0.052,120.95,714.5165,1441.311,0.272158562036542,0.193184601277352,-1.25166707329999,-1.39543408158145,-0.5215735704236,0.284240300688146,0.0638061338145288,1.1385046344985,-0.769469533683284,-0.828249992374233,1.36813260088895,0.603470161740862,-0.104174361997257,-0.833259131983872,-0.168323018374979,-1.16012193313683,-1.02941861257554,-0.971409593619354,-0.331059492236886,-0.818758642787459,0.0796543493836237,0.665020790035646,0.796177875436474
"m1","cha7",2,"a","checked","L",115,11.062,7.918,-5.6125,-12.483,-11.846,-5.5075,3.144,13.53,23.545,22.908,16.5695,1.7335,13.598,20.169,-0.254925208417942,14.8535,15.3545,22.7215,25.535,0,0.0335,122.157,661.3085,1360.6195,-0.0321562309966404,0.436476341565251,-1.15542205667297,-0.860034040766261,-0.30300109255564,0.372252837273648,-0.574765013755494,1.22447578283538,-0.60595282938507,-0.798558775684562,0.754098539373108,0.259477418378124,-0.331641104358263,-0.538050092218289,-1.06101268934832,-1.53867546982156,-1.16801655362882,-1.01774740108494,0.034272210865596,-0.818758642787459,-0.0732535534510112,0.472804598834407,0.306212265761046
"m1","cha7",3,"a","checked","L",148,11.862,7.24,-6.3945,-22.22,-17.3555,-6.0425,4.6225,13.634,34.082,29.2175,17.904,0.8805,12.671,17.7465,-0.422508200162775,21.3165,18.2015,23.899,24.281,0,0.046,118.847,774.0645,1363.2155,0.194732710687,0.263298598872132,-1.32211885180547,-2.23900248341074,-1.12837810887745,0.282220892582934,-0.108414091709419,1.24233991755473,-0.717492012724836,-0.917967703542807,2.08744772148387,1.11701286454454,-0.141324886376594,-1.1678110693654,-0.345909399375502,-1.30975832476178,-1.06967423631021,-1.13079722708075,-0.407352564965623,-0.818758642787459,0.647597988483696,0.611231064818481,0.929144769625636
"m1","dam",1,"a","modal","H",106,12.7105,8.123,-1.795,-9.168,-8.769,-1.1065,4.587,9.9185,21.878,21.4795,13.8165,1.994,22.061,26.111,-0.00130484168834433,28.0045,28.195,34.4115,36.7125,0,0.0465,127.598,620.8805,1406.976,0.43537679446021,0.488838343411992,-0.341656052301733,-0.390558803283827,0.157963619164519,1.11287075986025,-0.11961156058506,0.604126527653292,-0.571889573511672,0.291579041429065,0.54315680201156,0.065327424741746,-0.724252980044689,0.415031174043121,0.394089177653468,-0.506216530186834,-0.191692401225796,-0.0100803914611935,1.11750623273932,-0.818758642787459,-0.269849428524113,0.615968773532114,0.174372333166345
