"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"f3","bo7",1,"o","checked","L",153,3.706,-2.68,-10.4025,-10.896,-13.293,-1.054,6.385,7.723,14.6015,16.9985,4.76,-19.9145,44.0595,18.714,-0.770830297460899,30.8585,38.142,46.159,48.481,0.1475,0.074,191.3235,341.466,752.26,1.07385551604898,0.239480619106665,-0.644117028775946,0.354915946300945,0.27754064258814,1.99156994518209,0.410728084266459,0.997178171040655,-3.61961148493977,2.56964864301892,0.126333006293248,0.22962987931426,-1.20025461630321,0.759913134001233,-0.268761109419691,-0.474610076790176,0.00578657157202886,0.258358613105644,-0.0921240810961926,0.00274878326311685,0.688261418307174,0.754827816452826,0.595961973166541
"f3","bo7",2,"o","checked","L",123,3.798,-6.2025,-15.4715,-10.094,-19.2095,-5.872,10.001,9.2685,13.892,23.008,9.67,-20.0625,40.3635,17.8115,-0.695724949522872,25.6465,35.337,44.38,48.255,0.28,0.0755,194.643,342.0955,797.9145,1.09909491520636,-0.341716628841755,-1.45007982248727,0.45411095808241,-0.522412626062009,1.27376847663115,1.01400768993986,1.27722932872297,-3.64052296583584,2.16659604617319,0.0405032184451892,0.97110722107817,-0.576857214163979,1.00417104968445,-0.803718750510632,-0.742405045363201,-0.161969717735195,0.235058700510455,-0.308758703705978,0.584423541908748,-0.0366910177902521,0.76411526631748,0.467592656432531
"f3","bo7",3,"o","checked","L",132,-0.159,1.5475,-4.455,-11.1265,-16.899,3.733,-1.7065,6.0025,10.968,16.7405,-3.8915,-16.6795,48.798,17.3055,-1.03151705144606,29.045,36.947,47.017,51.157,0,0.097,219.1105,296.6105,821.96,0.0135264101437534,0.936999814479822,0.301525842717067,0.326406656755275,-0.210016441287874,2.70475293188889,-0.939226818749674,0.685416270819096,-3.16252607481297,3.08638693580937,-0.313219543595295,0.197796756063559,-2.29869099606034,-0.0878933794201738,-0.454898039987308,-0.588697416342677,0.0866943266173342,0.534246073746008,-0.43021811538526,-0.644775948059378,0.180794713038976,0.880275877276204,0.0688007258617246
"f3","botey",1,"o","modal","M",50,-2.009,-13.778,-8.067,-15.901,-23.47,-12.708,11.769,-5.712,13.892,21.461,10.699,0.404,28.462,19.763,-1.10790539730952,45.4115,48.392,54.1865,54.611,0.736,0.0745,239.2305,460.7805,1299.8615,-0.494004985955772,-1.59164132772983,-0.272776309755865,-0.264125243183135,-1.09846280794048,0.255318738355045,1.30897404581115,-1.43730083475804,-0.748733616110885,0.868725244939577,0.0405032184451892,0.780231865772609,-0.446210385894882,-0.336323866134544,1.22495311751747,0.503963337781485,0.762764431276214,0.890342968010515,0.159676161693465,2.58626271128541,-1.80074194562732,0.757944112914412,-0.282497911329141
"f3","botey",2,"o","modal","M",47,-3.175,0.213,-0.827,-10.741,-15.357,-6.196,-3.388,1.04,7.566,12.182,3.021,0.959,36.546,19.67,-1.2518119729938,48.391,48.814,54.307,55.274,0,0.112,220.305,278.8835,1321.453,-0.813886936146068,0.716813092723351,0.878371969287332,0.374087052069183,-0.00152697280844697,1.22549789219559,-1.21976184555825,-0.213809785472382,-0.670315562750645,1.75029374951232,-0.724767025285352,-0.364650113464819,-1.4210464864295,-0.804337412370367,1.53076783195155,0.544251921288728,0.774127350254022,0.958696251420292,0.13735259393423,-0.644775948059378,-1.87323718923707,0.947071143786119,-0.308055889843948
"f3","botey",3,"o","modal","M",42,0,0,0,0,0,0,0,0,0,0,0,0,0,17.715,-1.21824462534753,34.481,41.744,49.077,51.467,0,0.098,227.997,385.498,1381.3115,0.0571466760787937,0.681669014990771,1.00986363044323,1.70258283953142,2.07484965977168,2.14859832788294,-0.65452088758771,-0.402262198277045,-0.805816307205546,-2.23508509364894,-1.64004281789763,-1.86771642137196,-1.8046072912895,-0.695169548880048,0.103050873475922,-0.130725058323139,0.280948377192311,0.566206130845602,-0.331922405735723,-0.644775948059378,-1.9940625952533,0.885037348548129,0.494324326725548
"f5","bo7",1,"o","checked","L",168,3.496,-3.019,-3.1745,-5.0085,-6.2305,4.1375,6.515,0.156,8.5045,9.726,-0.6415,-19.302,49.6565,17.8035,-0.579219380451435,32.4995,43.6615,50.214,52.4855,0.7405,0.076,153.107,286.086,593.8325,0.537567275906908,-0.0746366515123742,0.047860600485834,0.602912530868359,0.941704112285758,1.309410578216,0.435787917476974,-0.0863084443598081,-2.66908307958624,2.32405075393821,-0.442665377874615,-0.770242620310258,-1.11919367958833,0.92428448686389,0.360068819420307,0.424367947635183,0.621283966395725,0.774613099506511,-0.0319872810645109,0.950105089980937,0.908442429825861,0.823761260871515,-0.043695987346471
"f5","bo7",2,"o","checked","L",151,0.6585,-5.7545,-11.679,-10.49,-14.3535,13.824,6.413,5.9245,11.1485,15.012,-13.1655,-30.688,54.026,16.2165,-0.874518734299406,21.7705,34.2645,42.538,45.676,0.5315,0.02,136.0705,329.2075,602.97,-0.545462490454309,-0.767146450290892,-1.39857315559174,0.0429337672850479,0.0907960574533339,2.32175488400574,0.409690037924785,0.778452780800966,-3.91315180519783,2.6883082735448,-0.182190729341306,-0.233238086749104,-2.37963422855718,0.0700294908608265,-0.56737531255424,-0.259444288931511,0.0932708089400868,0.295944958486917,-0.272107813440117,0.2021750468732,0.544550142019538,0.156061889057751,-0.589502578717449
"f5","bo7",3,"o","checked","L",157,4.3875,2.8975,-22.103,-25.3695,-31.9415,-26.044,1.4905,25.0005,29.757,36.33,30.4315,1.4735,12.6135,14.595,-0.872895201635192,17.0685,33.397,41.0755,44.855,0.575,0.02,138.723,587.7165,2448.7855,0.877839006906388,1.42316419823104,-3.17147285261716,-1.47712534294717,-1.75159848500545,-1.84488350790313,-0.849788512032587,3.63815376566132,-0.399089244267127,-0.763989364790896,1.65103260546659,1.93245670070014,2.00805553616614,0.074726117763345,-0.973829064865202,-0.322571575855168,-0.00733096838910365,0.238233446073805,-0.517448357389106,0.35784469699371,0.672982714186476,0.156061889057751,0.830845307803252
"f5","lok",1,"o","modal","L",119,4.31,2.9405,-1.0875,-17.941,-14.1715,-24.354,1.369,4.028,22.2505,18.481,28.664,16.9855,17.4765,23.1895,-0.705533773838407,40.5635,42.604,48.8135,52.114,0.938,0.051,155.3025,502.736,1105.2395,0.848258458221633,1.4340499307653,0.402814712889139,-0.718245064687816,0.109861090812869,-1.66826017885914,-0.880875692087401,0.494146693686914,1.29579869457767,-0.358591878156994,0.911526951451735,0.119177487772963,1.83017078127134,0.558876638144146,1.05714305562524,0.347414511414125,0.524947016549891,0.748498815874999,0.782939743116344,1.65688108765452,-0.140423576204129,0.622024452282057,0.496792580496064
