"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"m1","bo7",1,"o","checked","L",163,11.42,6.998,-3.0885,-9.026,-14.0615,10.8175,4.422,10.0875,20.446,25.4815,0.603,-22.2285,48.919,20.277,-0.00239521253954565,21.597,33.4325,41.886,42.6635,0.262,0.066,121.2955,376.495,522.3375,0.0693765704067885,0.201485894253054,-0.617387899493403,-0.370448551783825,-0.634904673581319,3.11948928040619,-0.171656134232407,0.633155746572238,-3.73924932550167,3.75121764382039,0.36195190225047,0.6092464128641,-2.60866163219964,0.410933663874841,-0.314873274845504,-0.0850877815916186,0.432562079282024,0.526410449448753,0.0539607457633346,0.0870958245146105,0.9752577802722,0.769964164919305,-0.189051052083139
"m1","bo7",2,"o","checked","L",98,11.247,7.9615,4.149,-6.492,-17.8395,-20.767,3.2855,3.813,17.739,29.0865,32.0145,11.963,21.843,20.348,-0.0835460514500749,29.61,38.826,44.606,44.4105,0.0495,0.057,121.2945,440.828,2780.5415,0.0203118367677014,0.44758730293273,0.925410124511012,-0.0115796975514012,-1.20088604533262,-2.19567699451692,-0.530132849082163,-0.444618419740925,0.731667423808516,0.263497977488291,0.0194088410400854,1.09920841990585,1.87100706853561,0.105976513530981,0.571730881514116,0.348584372212352,0.659730744340727,0.683904904005916,0.0669041344461068,-0.647614382743747,-0.444601317477982,0.705382274162533,-0.0463345853660775
"m1","bo7",3,"o","checked","L",137,10.5105,4.539,-7.628,-8.2545,-11.0905,11.1765,5.9715,12.1665,18.765,21.601,-0.666,-26.3085,51.5735,23.995,-0.0338582672609674,35.9615,46.1005,51.302,50.1785,0,0.0615,123.8715,377.422,518.0925,-0.188567795169799,-0.42660270350857,-1.58506066356498,-0.261187572683464,-0.189819799183986,3.17990323955379,0.317089725564951,0.990266670433113,-4.27275444628272,4.09314968157628,0.149238608606341,0.0818407073646508,-2.78963673944485,0.292698490489434,1.27449717367911,0.933501046514194,1.21896654626465,1.20389804303609,0.731756789742888,-0.818758642787459,0.407314141172127,0.738836700389679,-0.372639779660739
"m1","botey",1,"o","modal","M",71,9.263,4.5225,-5.336,-4.563,-20.283,-26.578,4.7405,9.859,13.8265,29.546,35.841,6.662,20.6105,18.8005,-0.348721986001856,28.6225,39.6125,45.97,47.27,0,0.0515,126.469,341.843,2694.238,-0.542372738607725,-0.430817206096234,-1.09648131005643,0.261608155571861,-1.56694625758099,-3.17357536946596,-0.071194336010104,0.59390618134751,0.0385030499701855,0.104736916446989,-0.475677870073926,1.16165988793239,2.41671333163554,-0.890529479830827,0.462468232767689,0.411824040139825,0.773649148436341,0.941692764799394,-0.215207048463619,-0.818758642787459,-1.03438894269729,0.660777068257215,0.0176627037549764
"m1","botey",3,"o","modal","M",63,8.2585,2.9715,-5.8795,-7.6925,-26.6585,-8.677,5.2875,8.851,15.9515,34.9175,16.9355,-5.507,33.368,18.787,-0.567832730557412,22.135,33.047,41.258,44.03,0,0.053,128.2105,348.448,1128.4365,-0.827260166009245,-0.826980449336689,-1.21233771434609,-0.181596295620077,-2.52205854863457,-0.161123328515545,0.101341311172312,0.420761490990721,-1.55272827718293,1.74805881197187,-0.206780934325102,1.89171007401416,-0.279444974136239,-1.7139268613792,-0.255345877351248,-0.116084465617099,0.380112843378765,0.649602305288686,-0.217668115325836,-0.818758642787459,-1.20914083165116,0.673389431738535,0.250592740300112
"m1","lok",1,"o","modal","L",87,12.798,9.424,3.635,-10.176,-15.689,-3.152,3.374,5.789,22.9745,28.4875,15.95,2.9795,30.5205,22.2045,0.0157787563890409,35.8435,38.7415,44.0255,43.718,0,0.073,144.4355,465.889,1165.9665,0.460192772456858,0.821145486839349,0.815842154308833,-0.533313264635952,-0.87872010040113,0.768645819925942,-0.502218032307677,-0.105199860073252,-0.443024549852424,1.381266015773,0.681907620857953,1.01779725701597,-0.419989472316033,0.479229714159794,1.26144097868967,0.341790027724277,0.611248608286839,0.621475075854322,0.405346403313252,-0.818758642787459,-0.684885164789551,0.814454145165634,0.158815186378724
"m1","lok",2,"o","modal","L",94,11.867,8.114,3.5685,-9.281,-15.5355,4.007,3.753,4.5455,21.148,27.4025,7.8605,0.666,32.8945,23.8545,-0.00988323393209557,30.3525,35.3615,42.9685,42.787,0.0905,0.0795,139.888,430.0015,1040.231,0.196150766572522,0.48653952381872,0.801666531704855,-0.406562031590167,-0.855724298240245,1.97339103869383,-0.382673223748014,-0.318796509337802,-0.745540259883546,1.68706622584363,0.450782795848434,0.870332963634477,-1.57365230136265,0.382794390193351,0.653885328799405,0.0700162482012544,0.522970196901894,0.537544144433189,0.706143464250923,-0.50585853099037,-0.531977261954916,0.852147727015386,-0.0445806527698435
"m1","lok",3,"o","modal","L",88,11.858,9.231,1.5345,-8.601,-14.9455,-4.2975,2.627,7.6965,20.459,26.8035,16.1555,0.7555,30.055,17.947,0.0486359884326485,21.8195,26.703,34.881,36.8875,0.6455,0.0635,141.768,483.983,1180.5355,0.193598265978581,0.771848577783638,0.368084330554599,-0.310259418773257,-0.767336524462249,0.575876487882553,-0.737838011183848,0.222452418553309,-0.733837145101706,1.32130392740405,0.363596918798581,0.788921800744599,-0.390682628707766,0.602704073596212,-0.29025460208998,-0.626182944106464,-0.1524807511357,0.0056960994074408,-0.370801164530469,1.41303165737852,-0.663041178670317,0.752938946429074,-0.185429773086872
"m2","botey",2,"o","modal","M",78,4.9675,-3.0225,-13.0705,-18.031,-30.0135,-24.5925,7.99,10.0485,22.9985,34.9805,29.5595,6.958,20.576,15.991,-1.20760831050175,15.678,30.462,39.169,43.322,0,0.033,90.2495,285.8815,2315.5865,-0.547121715434246,-0.761993993257487,-1.18108017077756,-0.715898619163658,-1.84096456909111,-1.5511809812479,0.510984995918787,0.559618178399074,-0.0454824702572432,0.239701098662382,0.424210352402328,1.33004544958287,1.21780722014204,-0.889154243279411,-0.335908546924426,-0.069324842799308,0.373417362192657,0.58518905526177,-0.0608057873746208,-0.544376848354243,-1.18177477209641,0.763836139466097,0.0120488693040094
"m2","pantlon",1,"o","modal","F",147,15.1855,7.975,-4.4205,-14.398,-26.5335,-8.295,7.2105,12.395,29.5835,41.719,23.48,-3.606,28.854,18.9065,-0.0642408962546882,21.173,31.017,36.824,39.9115,0,0.0515,104.79,497.3135,622.545,1.40438967919084,0.941854425613548,0.137572162004654,-0.261516749846017,-1.24577483256929,0.325776671191494,0.317026192364431,1.02365989352522,-1.25748150110947,1.12962630450295,1.40118732642194,2.46473168598087,0.519584774269761,1.5470332543201,0.496020240267998,-0.0168917245143408,0.156171580186443,0.270339955160036,0.552737061068656,-0.544376848354243,0.149391369264594,0.936952481781915,0.431492686384321
"m2","pantlon",2,"o","modal","F",119,11.321,-0.6685,-11.4795,-16.693,-29.0465,-14.295,11.99,10.8105,28.014,40.368,25.616,18.766,5.9195,18.667,-0.692503962086787,18.9785,33.5575,38.873,42.5055,0,0.037,96.8145,418.8195,1952.713,0.666318061992894,-0.397287543789661,-0.938539608759468,-0.548554016590852,-1.67557707621277,-0.36523396937524,1.50628353885326,0.710310608369722,1.30923965737463,-1.33594383724029,1.16833002031355,2.23723875649008,0.764901518143958,0.208385146011346,0.163778616338285,0.22311969350901,0.345995293333877,0.50981175274511,0.502336267996399,-0.544376848354243,-0.390791992447117,0.808156217487165,0.535268983808025
"m2","pantlon",3,"o","modal","F",95,13.215,3.1765,-4.182,-10.4945,-17.7285,-12.7875,10.0385,7.3585,23.7095,30.9435,26.003,17.4005,12.739,18.114,-0.472370099128661,23.836,31.9465,36.4495,40.1625,0,0.045,95.034,304.042,1957.241,1.02804859452567,0.19842031441076,0.173930379503909,0.226696745029131,0.260157819750992,-0.191617545932848,1.02070226221911,0.0276462143294625,1.1525769655317,-0.602814465262787,0.529697160075516,0.650260877892036,0.809347950671727,0.677427168771836,0.899191552423308,0.0709219393521044,0.121477104552615,0.293511667262523,0.385961994222044,-0.544376848354243,-0.853806302485727,0.884285996303583,0.602028757199546
"m3","bo7",1,"o","checked","L",192,-2.2915,2.26,-1.2255,-11.494,-13.0295,-0.1675,-4.552,3.4855,9.202,10.737,-2.1245,-12.2935,46.76,20.574,-0.53985418250825,22.9815,35.525,44.0655,48.1165,0.506,0.024,124.219,355.7225,625.222,-1.09142839090601,0.291274873993925,0.450576324683215,0.0113508232792786,0.610271006769319,1.77182396301258,-0.950703389798762,-0.24087589830985,-2.70664407854925,3.75701149699162,-0.535114934940557,-1.2634985856519,-2.26248413216652,0.474083650415572,-0.186749391450408,0.0371485421180951,0.522543568613723,0.751087349113034,0.12781396656148,0.21390470939479,1.04831181869485,0.466616910066494,-1.38956972467504
"m3","bo7",2,"o","checked","L",195,-5.5665,2.556,4.189,-11.483,-14.682,-7.1825,-8.1225,-1.633,5.9165,9.1155,1.616,0.4105,42.831,19.346,-0.726998727936262,15.146,26.847,36.746,41.3385,0.3135,0.015,58.962,370.459,753.9845,-2.12486495961215,0.380662329058891,1.36416243116732,0.0128134224552802,0.313080821444078,0.765433852935755,-1.71802796023087,-0.963615155649527,-1.18876923648327,3.22684783155563,-1.03110606852762,-1.56245065582108,-1.72719025997332,-0.217784637794758,-1.04075893494645,-0.713252334975503,-0.10693668476192,0.152316635926558,-0.0991922880349815,-0.546202495133171,1.10269406312306,0.293651949327542,-1.98790473681262
"m3","bo7",3,"o","checked","L",149,-3.7255,-0.9485,0.886,-15.7245,-27.727,-20.247,-2.777,-1.8345,11.999,24.0015,16.5215,21.1115,13.45,15.7835,-0.995678626217357,14.969,26.7665,35.9545,39.1815,0.4245,0.022,116.772,378.426,2325.7005,-1.54393160908146,-0.677642861059936,0.806848753132969,-0.551151523454815,-2.03296817557121,-1.10883323089869,-0.569243898826352,-0.992067233475833,1.28458774601105,-0.737707692540768,-0.112869553524325,1.18204549992265,0.405899650994648,-1.21108690516847,-1.06005058055922,-0.720213301857969,-0.175006036568303,-0.0382334420231652,-0.757750742432287,-0.107906912262503,0.268832981890424,0.434301172883962,-0.782304278333754
