Row,Filename,Language,Sex,Phonation,Tone,Vowel,Lg_phon,Lg_speaker,H1c_means002,H2c_means002,H4c_means002,A1c_means002,A2c_means002,A3c_means002,H1H2c_means002,H2H4c_means002,H1A1c_means002,H1A2c_means002,H1A3c_means002,H42Kc_means002,H2KH5Kc_means002,CPP_means002,Energy_means002,HNR05_means002,HNR15_means002,HNR25_means002,HNR35_means002,SHR_means002,strF0_means002,soe_means002
1,Maz_F1_ba33C.mat,Mz,F,C,33,a,MzC,Mz_F1,0.553615089,0.464572119,0.642608787,0.647445062,0.752218175,0.687213472,0.356288187,0.218099548,0.123084421,0.292492032,0.260569551,0.160468248,0.788284347,0.029216262,0.665312948,0.258598381,0,0.115200289,0.170362694,0.409638554,0.445515324,0.75
2,Maz_F1_bae55C.mat,Mz,F,C,55,A,MzC,Mz_F1,0.657701711,0.380643744,0.671232396,0.821233783,0.856355655,0.859516136,0.605269857,0.153187988,0.009909568,0.250615242,0.165534867,0.081114679,1,1,1,1,0.980512464,1,1,0,1,1
3,Maz_F1_chatae11M.mat,Mz,F,M,11,A,MzM,Mz_F1,0.678484108,0.066132044,0.319811751,0.265342865,0,0.542462893,1,0.446976553,0.591270916,1,0.42924425,1,0,0,0,0.37676406,0.765030485,0.914368388,0.917927461,0,0.538538779,0.541666667
4,Maz_F1_ja33C.mat,Mz,F,C,33,a,MzC,Mz_F1,0.366049598,0.369438647,0.525585643,0.654064072,0.990473522,0.59724933,0.193100815,0.31958042,0,0,0.254545455,0,0.587429866,0.539496058,0.848423316,0.559564289,0.418113761,0.311963107,0.280673575,1,0.67533192,0.25
5,Maz_F1_jae11B.mat,Mz,F,B,11,A,MzB,Mz_F1,0.895826057,0.571130397,0.762863063,0.36510458,0.965069581,0.610094866,0.73154277,0.11719457,0.624032057,0.266672046,0.465717415,0.586656998,0.86328306,0.859638275,0.17176302,0.562242349,0.710156672,0.696898454,0.649585492,0.56626506,0.510852307,0.3125
6,Maz_F1_jae33C.mat,Mz,F,C,33,A,MzC,Mz_F1,0.006112469,0,0.416008148,0.343923749,0.747875222,0.41986292,0.096614053,0.309543398,0.094005523,0.043288821,0.246768894,0.417020615,0.323107016,0.088885454,0.065575729,0.258508109,0.236706028,0.164164934,0.127409326,0.456325301,0.290879599,0.354166667
7,Maz_F1_ndae11B.mat,Mz,F,B,11,A,MzB,Mz_F1,0.970747468,1,1,1,1,1,0.343940937,0,0.021227054,0.2711502,0.183424608,0.925256397,0.804395944,0.16834132,0.400143335,0.407967984,0.538434823,0.566009585,0.511243523,0,0.597044259,0.9375
8,Maz_F1_ndae11B_2.mat,Mz,F,B,11,A,MzB,Mz_F1,0.900017464,0.542568384,0,0,0.297749136,0.153011665,0.770875764,1,1,0.84516077,0.835122307,0.133844401,0.411540639,0.481527284,0.056020067,0.668672705,0.860191402,0.885477891,0.860362694,0,0.510989624,0.854166667
9,Maz_F1_ndae11C.mat,Mz,F,C,11,A,MzC,Mz_F1,0,0.075579479,0.518104871,0.402488748,0.75679462,0.72343516,0,0.218264089,0.030270212,0.032759108,0,0.404951828,0.552118186,0.341783892,0.101528906,0,0.021455584,0,0,0.682228916,0,0
10,Maz_F1_ndae33C.mat,Mz,F,C,33,A,MzC,Mz_F1,0.36709745,0.381522575,0.44793313,0.365792957,0.673531335,0.718941492,0.180753564,0.414973262,0.295445931,0.274297011,0.157101132,0.306795815,0.544551398,0.593754831,0.2090301,0.475250504,0.474569731,0.415769961,0.360518135,0.603915663,0.391644281,0.625
11,Maz_F1_ndja11B.mat,Mz,F,B,11,a,MzB,Mz_F1,1,0.73371416,0.365609525,0.106327773,0.253432334,0,0.695137475,0.643315508,0.953267992,0.929600194,1,0.705428364,0.20625933,0.496676457,0.132107023,0.852706647,1,0.955511348,0.915699482,0,0.550571151,0.708333333
12,Maz_F1_nka33C.mat,Mz,F,C,33,a,MzC,Mz_F1,0.287635348,0.223662529,0.741966073,0.560868414,0.852152797,0.664699741,0.247836049,0.011517894,0.046677858,0.083269456,0.167506389,0.400031078,0.647243527,0.713866131,0.528547539,0.552553185,0.479702092,0.491997468,0.574404145,0.722891566,0.728087265,0.333333333
13,Maz_F1_wa11C.mat,Mz,F,C,11,a,MzC,Mz_F1,0.351030388,0.427221795,0.440627963,0.332592004,0.418557953,0.400163406,0.104251527,0.440641711,0.319380517,0.487110179,0.4067908,0.075313374,0.888866011,0.279950533,0.159101768,0.335028436,0.2168326,0.325029388,0.380310881,0.319277108,0.241848969,0.958333333
14,Maz_F1_wae55C.mat,Mz,F,C,55,A,MzC,Mz_F1,0.507073,0.420630561,0.63137007,0.737993116,0.762958812,0.63437883,0.339485743,0.214808721,0.00167867,0.261709767,0.283643666,0.401792189,0.515674062,0.294172206,0.60989011,0.4487708,0.332407193,0.273035537,0.223937824,0.545180723,0.573194071,0.791666667
15,Maz_F2_ba33C.mat,Mz,F,C,33,a,MzC,Mz_F2,0.314634578,0.520771942,0.774458076,0.31975157,0.623399433,0.922904611,0.051246657,0.151266657,0.331093583,0.362177445,0.136755668,0.467487786,0.82965989,0.003208985,0.411825319,0,0,0,0.027011948,1,0,0.135135135
16,Maz_F2_bae55C.mat,Mz,F,C,55,A,MzC,Mz_F2,0.155238011,0.346911654,0.714576314,0.537878788,0.934560907,0.863480804,0,0,0,0,0,0.516410927,0.80467414,0.034095467,0.257850834,0.153849805,0.167469832,0.111965186,0.073225162,0.534031414,0.421562073,0.189189189
17,Maz_F2_chatae11M.mat,Mz,F,M,11,A,MzM,Mz_F2,0.609493895,0.43485295,0.151929312,0.24979525,0.109348442,0.5229295,0.754550945,0.759481622,0.705521472,0.988889774,0.812993854,1,0.455918678,0.145072871,0.051864573,0.723583025,0.783503923,0.748576541,0.701380817,0.287958115,0.539171565,0.864864865
18,Maz_F2_ja33C.mat,Mz,F,C,33,a,MzC,Mz_F2,0.300610511,0.366094644,0.672366665,0.388206388,0.828385269,0.827328729,0.254852903,0.072924293,0.266822475,0.205479452,0.199762434,0.526594647,0.752185066,0.408477069,0.382580962,0.547754676,0.425863236,0.250447373,0.234878423,0.181500873,0.460658797,0.135135135
19,Maz_F2_jae11B.mat,Mz,F,B,11,A,MzB,Mz_F2,1,1,0.564871909,1,0.634844193,0.886316968,0.672159434,1,0.600107119,0.971009876,0.96725714,0.528108443,0.55400912,0.632704907,0.983464181,0.50669325,0.459675813,0.413819749,0.326514482,0,0.74415495,1
20,Maz_F2_jae33C.mat,Mz,F,C,33,A,MzC,Mz_F2,0,0,0,0,0,0,0.215253214,0.383438278,0.212922388,0.517123288,0.535505862,0.936282942,0.308426753,0,0,1,1,1,1,0.082024433,1,0
21,Maz_F2_ndae11B.mat,Mz,F,B,11,A,MzB,Mz_F2,0.872721642,0.992835269,0.629457759,0.813882064,0.678243626,0.718436936,0.434733845,0.916532435,0.592754893,0.825979611,0.95796106,0.545723526,0.674805244,0.499532023,0.676545633,0.909237634,0.671074117,0.550797137,0.459946999,0,0.818496602,0.810810811
22,Maz_F2_ndae11B_2.mat,Mz,F,B,11,A,MzB,Mz_F2,0.844673509,0.577569769,0.507469328,0.19976795,0.394674221,0.62839898,1,0.530897642,1,1,1,0.992431019,0,0.17435486,0.48498528,0.470806038,0.569397427,0.510411583,0.394997443,0.507853403,0.623312345,0.932432432
23,Maz_F2_ndae11C.mat,Mz,F,C,11,A,MzC,Mz_F2,0.455892762,0.655052869,0.840569576,0.653289653,1,0.950532014,0.126218618,0.24535071,0.248612328,0.224673463,0.27883076,0.633661323,0.653382101,0.604626287,0.57747792,0.484714706,0.489187144,0.340816659,0.2397601,0.462478185,0.318501592,0.027027027
24,Maz_F2_ndae33C.mat,Mz,F,C,33,A,MzC,Mz_F2,0.436604141,0.661004218,0.975716738,0.780985531,0.963116147,0.972185925,0.079717022,0.097232391,0.136332652,0.233195285,0.238289521,0.920869745,0.696085883,0.233988501,0.640235525,0.088626222,0.085905452,0.046689442,0,0.598603839,0.271501701,0.202702703
25,Maz_F2_ndja11B.mat,Mz,F,B,11,a,MzB,Mz_F2,0.798531233,0.881897498,1,0.742833743,0.886685552,0.752100056,0.455698387,0.349172646,0.561836596,0.612695126,0.843464339,0.815110438,0.816074482,1,1,0.718029052,0.587677725,0.453757931,0.430610442,0,0.728608065,0.608108108
26,Maz_F2_nka33C.mat,Mz,F,C,33,a,MzC,Mz_F2,0.486904973,0.573062923,0.630029877,0.388069888,0.742322946,1,0.309119144,0.383950798,0.472003116,0.433657216,0.27397614,0,1,0.472656772,0.651275761,0.356403684,0.300290732,0.178339027,0.167511274,0.420593368,0.517268219,0.405405405
27,Maz_F3_ba33C.mat,Mz,F,C,33,a,MzC,Mz_F3,0.394166158,1,0.252702099,0.638877173,0.359269083,0.686466575,0.028538611,0.876663053,0.208556717,0.535007547,0.217658974,0.061839856,0.677211238,0.873518229,0.705927637,0.759381832,0.611806602,0.588876042,0.602094622,1,0.443287923,0.483333333
28,Maz_F3_bae55C.mat,Mz,F,C,55,A,MzC,Mz_F3,0.1856292,0.536344231,0.66150067,0.49688364,0.562727183,0.573862447,0.151881958,0.222331724,0.22448113,0.246813684,0.215990785,0.881798659,0.530020812,0.422836055,0.243264049,0.524663811,0.601725791,0.577800767,0.527291902,0.192532089,0.17131208,0.25
29,Maz_F3_chatae11M.mat,Mz,F,M,11,A,MzM,Mz_F3,0.462583995,0,0,0,0.015374791,0,0.89415091,0.716911402,0.979829078,0.866090894,0.904555745,0.584388833,0.362122789,0,0,0.306268532,0.574633612,0.593470456,0.586857704,0,0.046866955,0.783333333
30,Maz_F3_ja33C.mat,Mz,F,C,33,a,MzC,Mz_F3,0.423029933,0.944163577,0.364314426,0.569520596,0.642351901,0.545146302,0.10584909,0.729082487,0.307234991,0.309240315,0.366763316,0.237761318,0.821540062,0.967680608,0.533487298,1,0.947185317,0.890890282,0.937343176,0.845974329,0.572269457,0.816666667
31,Maz_F3_jae11B.mat,Mz,F,B,11,A,MzB,Mz_F3,0.679138668,0.798786653,0.113666816,0.596560289,0,0.214282724,0.516522354,0.94180546,0.454588885,0.998113366,0.813917464,0.768549766,0,0.599977634,0.270977675,0.738446794,0.843391316,0.846710887,0.775919124,0.75495916,0.169196944,0.616666667
32,Maz_F3_jae33C.mat,Mz,F,C,33,a,MzC,Mz_F3,0.205940745,0.508819234,0.502411791,0.571348236,0.746831712,0.568839215,0.197031278,0.385828324,0.154254472,0.100913969,0.231361957,0.383529824,0.912747138,0.213934243,0.253849115,0.136152625,0.299986303,0.280076675,0.200152733,0.15285881,0.440240458,0.166666667
33,Maz_F3_ndae11B_2.mat,Mz,F,B,11,A,MzB,Mz_F3,0.908368968,0.92540164,0.32380527,0.623506256,0.410993221,0.372221525,0.682187666,0.765497191,0.583417379,0.773184639,0.783294277,0.656440373,0.125390219,0.276112726,0.760969977,0.247506664,0.389398713,0.37515974,0.30368377,0.331388565,0.30087806,0.483333333
34,Maz_F3_ndae11C.mat,Mz,F,C,11,A,MzC,Mz_F3,0.38538485,0.32614313,0.573246985,0.590983645,0.493123097,0.654485328,0.548330094,0.227505667,0.256754605,0.415939963,0.243476189,0.626155936,0.443860562,0.370834265,0.250769823,0.177513552,0.289960279,0.280806913,0.248227208,0.432905484,0.52417795,0
35,Maz_F3_ndja11B.mat,Mz,F,B,11,a,MzB,Mz_F3,0.63446854,0.749578699,0.584769987,0.381601762,0.25930838,0.221273389,0.503534193,0.400512467,0.667073624,0.752263961,0.784048934,1,0.184131113,0.562513979,0.286759045,0.463625745,0.541953157,0.520324956,0.52383723,0,0,0.433333333
36,Maz_F3_nka33C.mat,Mz,F,C,33,a,MzC,Mz_F3,0,0.456353219,0.35319339,0.581189372,0.446458395,0.699778141,0,0.527446536,0,0.244214322,0,0.191217075,0.897502601,0.223775442,0.888375674,0,0,0,0,0.526254376,0.002490851,0.35
37,Maz_F3_wa11C.mat,Mz,F,C,11,a,MzC,Mz_F3,0.384544899,0.897427255,0.213041536,0.355452458,0.039984281,0.53869982,0.098073865,0.875480438,0.522957694,0.802238806,0.352861739,0,1,0.28874972,0.357582756,0.403186678,0.405369128,0.461175683,0.509291247,0.712952159,0.076965893,0.716666667
38,Maz_F3_wae55C.mat,Mz,F,C,55,A,MzC,Mz_F3,0.339340257,0.786203797,0.718758374,0.727166221,0.950879261,0.62999707,0.133239088,0.26879866,0.070545146,0,0.242721532,0.638778104,0.682154006,0.966114963,0.476712856,0.774416724,0.736994932,0.701210978,0.685697662,0.087514586,1,0.75
39,Maz_F4_ba33C.mat,Mz,F,C,33,a,MzC,Mz_F4,0.24465058,0.508736652,0.296642466,0.484011497,0.728750359,0.774493623,0.102168892,0.702227935,0.25990069,0.091039469,0.08294856,0.190344019,0.654597797,1,0.457281427,0.83394432,0.743328523,0.704546882,0.778129355,0.846041056,0.427645473,0.538461538
40,Maz_F4_bae55C.mat,Mz,F,C,55,A,MzC,Mz_F4,0.293876622,0.676882541,0.468691758,0.752178209,0.812219141,0.727531883,0.023847776,0.594830049,0.053812926,0.038662643,0.15181765,0.447537138,0.578226208,0.861278649,0.605161737,0.768834343,0.662591618,0.609778308,0.605266132,0.032258065,0.792599184,0.6
41,Maz_F4_chatae11M.mat,Mz,F,M,11,A,MzM,Mz_F4,0.674595948,0.492164748,0,0,0,0,0.49347324,1,1,1,1,0.756645817,0,0.381101729,0.03351665,0.490330464,0.670515324,0.8005715,0.845632275,0,0,0.646153846
42,Maz_F4_ja33C.mat,Mz,F,C,33,a,MzC,Mz_F4,0.158604598,0.243724865,0.090767476,0.262193479,0.546259999,0.622805701,0.218144392,0.80445587,0.398328691,0.217006782,0.165344345,0.018178264,0.603443503,0.746039405,0.074394838,0.737647434,0.665591307,0.590655027,0.568953177,0.162756598,0.403857137,0.415384615
43,Maz_F4_jae11B.mat,Mz,F,B,11,A,MzB,Mz_F4,0.976781243,0.93995285,0.500737155,0.850714093,0.556713516,0.408964741,0.435836931,0.670322765,0.44967906,0.636738474,0.818169994,0.734480063,0.460914577,0.718214717,0.676655263,0.599431516,0.629821434,0.641273629,0.599427431,0,0.366760084,0.876923077
44,Maz_F4_jae33C.mat,Mz,F,C,33,A,MzC,Mz_F4,0,0,0.028039723,0.012844696,0.39640501,0.115903976,0.254694246,0.768494716,0.509870413,0.274164152,0.514079469,0.472165754,0.508138183,0,0,0.00781001,0.042674817,0.075142875,0.048743738,0.394428152,0.75327073,0.153846154
45,Maz_F4_ndae11B.mat,Mz,F,B,11,A,MzB,Mz_F4,1,0.189086118,0.852290745,0.777598132,0.982821812,1,1,0,0.531871947,0.249484598,0.319112961,0.805590305,0.758511875,0.891757137,1,1,1,1,1,0,0.363120775,0.784615385
46,Maz_F4_ndae11B_2.mat,Mz,F,B,11,A,MzB,Mz_F4,0.532039608,1,1,1,0.907862447,0.929444861,0,0.182347901,0,0.074008784,0.112830851,1,0.852543874,0.505749899,0.177196553,0.571671448,0.698050202,0.714689443,0.692093269,0,0.15930614,0.815384615
